Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Voss,Bollinger,Linear Regression Curve
2022-01-14 09:00:00,42519.99,42688.84,42450.2,42548.53,1013.53743,1642154399999,43156693.9632218,31912,493.54899,21017633.6393976,-213.64075503408043,0.3557139091935923,42341.84713846155
2022-01-14 10:00:00,42548.52,42611.63,41916.73,42075.29,2117.99354,1642157999999,89512841.3456087,61362,888.35836,37550673.5093733,-322.1268824724872,0.2218237692331478,42329.58181538461
2022-01-14 11:00:00,42075.29,42075.71,41826.82,42012.94,2651.35114,1642161599999,111232628.2282475,63968,1116.67806,46846292.9428283,-398.9982134954813,0.2244790549464339,42257.3335076923
2022-01-14 12:00:00,42012.94,42250.0,41725.95,42057.26,2023.3774,1642165199999,85075470.9297755,48951,994.21971,41805043.6277561,-323.7611474053923,0.2592206874306651,42184.15129230769
2022-01-14 13:00:00,42057.26,42321.23,42027.02,42165.0,1343.06319,1642168799999,56693036.237726,40002,595.75368,25143972.7940919,-203.14271493708884,0.3151228116618276,42119.7296
2022-01-14 14:00:00,42165.01,43098.88,42117.81,42975.88,3013.09459,1642172399999,128350678.1813861,68743,1541.16924,65672862.1797191,63.27912710535193,0.5906332688712284,42101.88178461539
2022-01-14 15:00:00,42975.89,43347.42,42772.92,43109.0,2617.86679,1642175999999,112798869.886639,68790,1233.2632,53147019.9495818,275.308804579991,0.670858526491927,42231.128
2022-01-14 16:00:00,43109.0,43239.89,42863.0,43201.06,1549.41532,1642179599999,66749935.5829445,45168,766.99519,33045669.2973912,285.81449076025376,0.7754419978520438,42407.59421538461
2022-01-14 17:00:00,43201.06,43270.96,42867.14,42913.26,1092.29876,1642183199999,47002909.6813068,35691,485.66572,20898412.2157919,197.23334956163887,0.6344765859062463,42531.2296
2022-01-14 18:00:00,42913.26,43114.71,42777.0,43050.04,977.46771,1642186799999,41937757.3629909,32181,480.62075,20620160.8032095,121.45169916441704,0.7124519700059446,42615.535015384616
2022-01-14 19:00:00,43050.04,43408.0,43004.16,43077.93,1012.4358,1642190399999,43721469.8051303,36110,530.56205,22915215.8278996,106.97652794121768,0.7136203303439334,42689.27763076923
2022-01-14 20:00:00,43077.93,43189.86,43000.0,43100.94,624.56688,1642193999999,26910958.4819014,27922,326.56111,14070948.8237997,55.34611676265014,0.7100794438154332,42756.094923076926
2022-01-14 21:00:00,43100.94,43448.78,43096.68,43293.89,831.62056,1642197599999,35975715.6409743,31830,411.81967,17815968.8124341,48.07034426612694,0.7890688587829917,42822.288984615385
2022-01-14 22:00:00,43296.29,43393.75,43170.59,43250.56,714.78841,1642201199999,30926148.7650813,28014,335.1266,14499875.3959559,32.60361234164424,0.7438987757464632,42921.519969230765
2022-01-14 23:00:00,43250.56,43286.7,43003.0,43059.96,661.80411,1642204799999,28533751.8290887,27650,317.01318,13667194.8125454,-52.45316210772325,0.6399564326238557,43010.80867692308
